ID,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc,Xloc,yloc
1,35,74,36,75,36,76,35,75,36,74,35,73,36,72,37,72,37,72,37,72,38,73,38,74,39,73,38,74,37,73,38,73,37,73,38,72,38,72,38,72,39,71,40,72,41,73,41,73,42,73,43,72,43,71,44,71,43,71,44,72,43,71,42,70,43,71,43,71,42,70,42,71,42,71,43,71,44,72,43,72,44,71,44,70,45,70,44,71,45,70,44,69,43,69,44,70,45,70,45,70,44,71
2,65,14,64,15,64,16,65,15,66,15,67,16,67,15,66,15,67,16,68,17,67,18,66,18,67,18,67,17,66,18,66,17,66,18,65,18,64,17,65,17,64,16,65,15,65,15,64,14,65,14,65,15,64,15,64,14,63,15,64,14,63,15,63,16,63,15,64,15,65,14,66,13,66,14,67,15,68,16,69,16,68,16,68,17,68,18,68,19,67,18,66,17,67,16,66,15,67,14,68,13,69,12
3,100,59,99,60,100,60,99,60,100,59,100,58,101,57,100,58,101,57,100,57,99,57,99,57,98,58,98,58,98,58,97,59,98,58,98,59,99,59,100,59,100,58,100,58,100,57,101,56,101,57,101,56,102,55,102,55,101,54,100,53,99,53,100,54,101,54,101,54,100,55,100,54,101,53,101,53,101,52,101,53,102,52,101,51,102,52,103,53,104,53,103,52,104,53,105,53,104,52,104,52,103,52
4,21,76,21,76,22,76,21,75,22,74,23,74,22,75,22,76,22,77,23,77,22,78,21,77,21,76,21,76,21,76,20,76,20,75,21,75,20,74,21,74,20,74,19,75,19,74,20,74,20,73,21,74,22,75,22,75,23,75,24,75,25,75,26,74,27,73,26,74,26,74,25,73,24,73,25,73,26,73,27,73,27,73,27,72,28,71,29,71,30,71,31,72,32,73,31,73,32,72,32,72,31,73
5,23,19,24,20,24,21,24,22,23,23,23,24,24,23,24,22,23,21,22,21,23,20,23,20,22,19,21,20,22,19,23,20,23,20,23,20,23,20,23,20,24,19,25,18,26,19,26,19,25,20,26,21,26,20,26,19,25,20,26,19,25,18,25,17,25,17,24,17,24,16,25,15,25,15,25,16,24,17,23,17,22,18,21,19,22,19,21,18,21,18,20,18,21,17,21,16,20,17,20,18,19,18
6,43,20,43,20,44,19,45,20,44,19,45,19,44,18,43,19,44,18,45,19,45,19,46,18,47,17,48,16,48,16,49,17,48,17,49,17,50,16,50,16,49,17,49,18,49,19,49,20,50,21,49,22,50,22,51,22,50,21,49,21,48,20,47,20,48,19,49,19,48,18,47,19,47,20,47,20,47,21,47,22,46,22,47,23,48,24,49,24,48,24,48,23,49,22,49,23,50,22,50,21,50,20
7,53,25,52,25,53,24,54,24,54,25,55,24,54,23,53,22,54,23,53,24,52,23,51,24,52,23,51,23,51,23,50,23,50,23,49,22,48,22,48,21,47,20,48,20,47,19,46,20,45,21,46,21,47,22,48,21,49,22,49,23,50,24,50,25,49,25,48,26,47,26,48,25,48,26,48,25,48,25,49,25,49,25,50,25,51,24,50,23,49,24,49,25,49,25,48,26,47,26,47,26,48,25
8,64,27,65,28,65,28,65,27,66,27,66,26,66,27,67,26,68,27,68,27,67,28,66,27,66,26,66,26,66,26,65,26,64,25,63,26,62,26,63,27,63,26,62,26,61,25,62,25,63,24,63,24,62,24,63,25,64,24,63,24,63,24,64,25,64,26,63,26,62,27,61,28,61,28,61,28,62,27,62,27,61,28,60,29,59,28,59,27,58,26,58,27,57,26,56,27,57,27,57,27,56,26
9,94,89,94,90,93,91,94,91,94,90,94,90,94,91,95,92,94,91,93,92,94,91,95,90,96,89,96,90,95,89,95,88,96,89,96,89,97,90,96,90,95,91,95,91,96,92,97,92,96,93,96,93,97,92,96,91,97,92,96,93,95,92,96,91,97,92,98,93,99,92,99,92,100,93,101,92,100,92,100,93,99,93,100,94,100,93,99,92,100,93,101,93,100,94,100,94,100,95,99,95,98,94
10,1,47,0,48,-1,47,-2,47,-2,48,-3,48,-4,47,-3,47,-2,48,-2,49,-2,48,-3,47,-3,47,-4,47,-4,47,-5,46,-4,46,-4,45,-5,45,-5,45,-4,45,-3,46,-3,46,-4,45,-4,44,-4,43,-5,42,-4,41,-3,40,-4,41,-3,42,-4,43,-5,44,-5,44,-6,44,-6,43,-5,42,-4,43,-4,43,-5,43,-5,42,-5,42,-4,43,-4,43,-4,44,-4,43,-3,43,-2,43,-3,44,-2,44,-2,45
